nodeId,stationName,lineName,travelMinutes,lng,lat
26,판교,경강선,0,127.11144319589552,37.39478218191577
824,판교,신분당선,0,127.11115660285478,37.39456947025172
898,성남,경강선,2,127.11939278676086,37.39474732415628
825,정자,신분당선,3.3,127.10853330157944,37.36731490403886
27,이매,경강선,4,127.12731612795025,37.394712048440546
826,미금,신분당선,5.966667,127.10882039582211,37.350043730204725
823,청계산입구,신분당선,6.55,127.05481605824002,37.448208355455385
827,동천,신분당선,8.6,127.10282103853412,37.33792959003132
28,삼동,경강선,9,127.20342545155974,37.408720901714815
798,이매,분당선,9.5,127.12828907263011,37.39642775541209
822,양재시민의숲,신분당선,9.55,127.03847630891948,37.470130796153555
795,정자,분당선,9.8,127.10805027517874,37.366370152927516
840,성남,GTX_A,10,127.12086379733869,37.39508384285294
797,서현,분당선,11.333333,127.12345491196909,37.38502792700807
828,수지구청,신분당선,11.5,127.09476727916179,37.32255214257053
821,양재,신분당선,11.733333,127.03491881007974,37.483707202554456
799,야탑,분당선,12,127.12868520179039,37.41180416352642
794,미금,분당선,12.3,127.10901849475744,37.35005408399885
796,수내,분당선,12.3,127.11435203198641,37.37845478546335
820,강남,신분당선,13.866667,127.02829567320644,37.49661485108958
29,경기광주,경강선,14,127.25322304647938,37.39897470821774
829,성복,신분당선,14.033333,127.08034168829445,37.31342955195196
793,오리,분당선,14.3,127.1089653267135,37.33986223006651
800,모란,분당선,15,127.12906689217004,37.432299307382586
819,신논현,신분당선,15.3,127.0246034538366,37.50426117404449
839,수서,GTX_A,15.85,127.10246845537694,37.486392416412166
841,구성,GTX_A,16.166667,127.10447748156407,37.299246907412225
818,논현,신분당선,16.583333,127.02148163870044,37.5107948116954
801,태평,분당선,17,127.12780338697468,37.4397579701397
830,상현,신분당선,17.05,127.06933533255231,37.29774945722412
792,죽전,분당선,17.633333,127.10756652082293,37.32470333266271
508,양재,서울3호선,17.733333,127.0338695771307,37.48458004712426
817,신사,신분당선,17.766667,127.01938995736657,37.51660518723846
30,초월,경강선,18,127.29988324527159,37.37339127196922
802,가천대,분당선,19,127.12669116703219,37.44886491716168
507,남부터미널,서울3호선,20.233333,127.01630214150559,37.48500070905941
509,매봉,서울3호선,20.233333,127.04677618667323,37.48696948538969
831,광교중앙,신분당선,20.316667,127.05164498562326,37.2884501592719
718,모란,서울8호선,20.5,127.12979700679931,37.434013806321964
791,보정,분당선,20.633333,127.10834005272706,37.31279826193464
445,강남,서울2호선,20.7,127.02806167769987,37.49811677955261
803,복정,분당선,22,127.12655548436801,37.47088919380632
694,논현,서울7호선,22.083333,127.021853180708,37.51126113697782
446,역삼,서울2호선,22.2,127.03636840669158,37.50063961417192
506,교대,서울3호선,22.233333,127.0138279671102,37.49296656096792
510,도곡,서울3호선,22.233333,127.0555675006598,37.491048742482185
842,동탄,GTX_A,22.316667,127.0962534758153,37.200156519373536
719,수진,서울8호선,22.5,127.14085740225366,37.43749374732599
444,교대,서울2호선,22.7,127.0145212219361,37.49391874143159
790,구성,분당선,22.966667,127.10567039677503,37.29897873981181
31,곤지암,경강선,23,127.34625353575343,37.35053613625162
766,신논현,서울9호선,23.133333,127.02584213308398,37.5049205564883
693,반포,서울7호선,23.583333,127.01147731905735,37.50812717016541
511,대치,서울3호선,23.733333,127.06288260206013,37.49438321809049
832,광교,신분당선,23.9,127.04436155242843,37.302062058277194
695,학동,서울7호선,23.916667,127.03181201807583,37.51434017199306
720,신흥,서울8호선,24,127.14760299428023,37.440910752121255
879,신논현,서울9호선급행,24.133333,127.02576262558543,37.50508932731812
443,서초,서울2호선,24.7,127.00770165990147,37.491811823574814
447,선릉,서울2호선,24.7,127.04884944742885,37.50447516204327
505,고속터미널,서울3호선,24.733333,127.00493444785855,37.50486906037078
503,신사,서울3호선,24.766667,127.02031497821802,37.51644325136979
515,수서,서울3호선,24.85,127.10209464890579,37.48744612229928
512,학여울,서울3호선,25.233333,127.07121516297254,37.49685981421995
789,신갈,분당선,25.3,127.1113292802862,37.28614017206379
765,사평,서울9호선,25.316667,127.0151631744664,37.50422483239932
721,단대오거리,서울8호선,25.5,127.15672440797955,37.44508841834457
696,강남구청,서울7호선,25.583333,127.0410971937261,37.5171658604025
767,언주,서울9호선,25.683333,127.03388761609956,37.50732567260436
692,고속터미널,서울7호선,25.75,127.00509044776163,37.50343658308469
804,수서,분당선,25.85,127.10179180251572,37.487183508394914
724,복정,서울8호선,26.666667,127.12676817610887,37.470868178941465
448,삼성,서울2호선,26.7,127.06313210133392,37.508915301152705
504,잠원,서울3호선,26.733333,127.0115777959725,37.51297848809268
878,고속터미널,서울9호선급행,27.133333,127.00395600288556,37.50610053366641
722,남한산성입구,서울8호선,27.166667,127.16003270270654,37.45203498104027
442,방배,서울2호선,27.2,126.99759853941437,37.48147207698431
