nodeId,stationName,lineName,travelMinutes,lng,lat
378,덕정,서울1호선,0,127.06151618764768,37.843143084999575
377,덕계,서울1호선,3.5,127.05665514541836,37.81872917558783
379,지행,서울1호선,5,127.05582165925695,37.89258267033157
380,동두천중앙,서울1호선,7,127.05640380227666,37.90166074031781
376,양주,서울1호선,8.5,127.04469587644334,37.77420098253186
381,보산,서울1호선,9.5,127.057218318175,37.9140736733074
375,녹양,서울1호선,11,127.04224091561474,37.75924911483714
382,동두천,서울1호선,12,127.05497993288473,37.92740510673755
374,가능,서울1호선,13,127.04431599515398,37.7483178103927
383,소요산,서울1호선,15,127.0611058067687,37.94872599137954
373,의정부,서울1호선,15.5,127.04596598630333,37.73839851106466
372,회룡,서울1호선,18.5,127.04726842140686,37.72379105526611
384,청산,서울1호선,20.416667,127.07488996787099,37.996208432879165
371,망월사,서울1호선,20.5,127.04736003754124,37.710274883634774
370,도봉산,서울1호선,23.5,127.04604803410369,37.68955803241259
385,전곡,서울1호선,23.683333,127.07160183753221,38.02490745130371
152,회룡,의정부경전철,23.833333,127.0470531636638,37.72501316442311
153,범골,의정부경전철,25.083333,127.04367521892087,37.72879492163151
151,발곡,의정부경전철,25.283333,127.05294608917171,37.72700398140848
369,도봉,서울1호선,25.5,127.04560064954164,37.67941062802147
154,경전철의정부,의정부경전철,26.716667,127.04330653611807,37.73740344279339
368,방학,서울1호선,27.5,127.04432090971817,37.667526880789865
155,의정부시청,의정부경전철,28.3,127.03486398201485,37.73926290204951
716,도봉산,서울7호선,28.833333,127.04639098634294,37.68959877628606
156,흥선,의정부경전철,29.533333,127.03711936601714,37.74328973081876
367,창동,서울1호선,30,127.0476185251435,37.653391455520406
157,의정부중앙,의정부경전철,31.333333,127.04966080110724,37.74367969940578
386,연천,서울1호선,31.65,127.07380278440273,38.10160673211785
715,수락산,서울7호선,31.666667,127.05534709762767,37.67823543122186
717,장암,서울7호선,31.833333,127.05272509154035,37.69981713750088
366,녹천,서울1호선,32,127.0514199869842,37.64451934153432
158,동오,의정부경전철,32.666667,127.05698192148158,37.745267903092
159,새말,의정부경전철,34.033333,127.06379012890208,37.748867606278736
714,마들,서울7호선,34.166667,127.05760212496052,37.66541488039195
365,월계,서울1호선,34.5,127.05887359847902,37.63326592447288
563,창동,서울4호선,35.166667,127.04790976660455,37.65322782584169
160,경기도청북부청사,의정부경전철,35.383333,127.07161584558919,37.75077876529072
713,노원,서울7호선,36.166667,127.0605472338607,37.65455907475965
161,효자,의정부경전철,36.616667,127.0772865800619,37.75400383549039
364,광운대,서울1호선,37,127.06174689099623,37.623729816733
564,노원,서울4호선,37.166667,127.0632937284953,37.656325735193505
562,쌍문,서울4호선,37.666667,127.03462769808984,37.64838115853124
712,중계,서울7호선,38,127.06396503011925,37.645439969795156
162,곤제,의정부경전철,38.033333,127.08384916388835,37.750507185211916
565,상계,서울4호선,39.166667,127.07338094410144,37.66077910400498
163,어룡,의정부경전철,39.6,127.08522463634152,37.742694724767375
711,하계,서울7호선,39.666667,127.0680023133773,37.636465980935455
363,석계,서울1호선,40,127.06557504581731,37.61526781846928
561,수유,서울4호선,40.166667,127.02571600748051,37.638098719930184
164,송산,의정부경전철,40.833333,127.08727387829762,37.73727516342422
710,공릉,서울7호선,41.666667,127.07301575099794,37.625608525398
165,탑석,의정부경전철,41.85,127.08891453227693,37.73346749965787
560,미아,서울4호선,42.166667,127.02618198046385,37.62636094653018
566,불암산,서울4호선,42.166667,127.07904357419957,37.670202707945386
362,신이문,서울1호선,42.5,127.06746352546598,37.60198063407909
709,태릉입구,서울7호선,43.166667,127.07534622117456,37.61854871377953
361,외대앞,서울1호선,44,127.06375491007906,37.59657323790454
559,미아사거리,서울4호선,44.666667,127.03014528792202,37.61330680765331
708,먹골,서울7호선,44.833333,127.07778617847123,37.610485250024645
360,회기,서울1호선,46,127.05815611692901,37.58988954795909
707,중화,서울7호선,46.666667,127.07936125009704,37.602285109902006
558,길음,서울4호선,47.166667,127.02515133072453,37.603424972807424
660,석계,서울6호선,47.666667,127.06619366992827,37.61503616885079
661,태릉입구,서울6호선,48.5,127.07476412074254,37.61733110346816
567,별내별가람,서울4호선,48.666667,127.11835935152827,37.66881778668515
359,청량리,서울1호선,49,127.04503311544889,37.580102747013676
706,상봉,서울7호선,49,127.08571314404865,37.595737139295096
557,성신여대입구,서울4호선,49.666667,127.01697872535821,37.59292658855122
659,돌곶이,서울6호선,49.666667,127.05645378899537,37.610556027995244
662,화랑대,서울6호선,50.333333,127.0837918934522,37.61985113066094
705,면목,서울7호선,50.666667,127.08749999489152,37.5887397099918
358,제기동,서울1호선,51,127.03444274006958,37.57815380758885
658,상월곡,서울6호선,51.166667,127.04911570153688,37.60669614229234
150,광운대,경춘선,51.333333,127.06203350607045,37.62379325369998
556,한성대입구,서울4호선,51.666667,127.00617856974323,37.58849271957477
663,봉화산,서울6호선,52.166667,127.09175060927113,37.61714681111189
704,사가정,서울7호선,52.333333,127.08850714914591,37.58097211223812
657,월곡,서울6호선,52.833333,127.04131336263657,37.601619462924056
357,신설동,서울1호선,53,127.02450627352647,37.57600288625438
555,혜화,서울4호선,53.666667,127.00191835595663,37.58212081591027
703,용마산,서울7호선,53.833333,127.08684287860366,37.573766288916445
183,성신여대입구,우이신설경전철,54,127.01653848733218,37.59243308481831
664,신내,서울6호선,54.133333,127.10225677447028,37.61324135023202
103,회기,경의중앙선,54.333333,127.05817690680095,37.58969117643179
356,동묘앞,서울1호선,55,127.01638399443921,37.57322147627274
656,고려대,서울6호선,55,127.0362946303764,37.590429246888824
702,중곡,서울7호선,55.666667,127.08437025699817,37.56605296105017
182,보문,우이신설경전철,55.883333,127.01953404635903,37.585078336625045
184,정릉,우이신설경전철,56.1,127.01354292180284,37.60258107059848
554,동대문,서울4호선,56.166667,127.00933705565537,37.57083797907694
816,청량리,분당선,56.166667,127.04875972294188,37.58054846319079
355,동대문,서울1호선,56.5,127.01077039000796,37.571669381552304
655,안암,서울6호선,56.666667,127.02929395773253,37.5863062738596
102,청량리,경의중앙선,57.333333,127.04849116980269,37.58068049315112
104,중랑,경의중앙선,57.333333,127.07606632960596,37.59489448479159
181,신설동,우이신설경전철,57.666667,127.02319449821809,37.57641801040539
553,동대문역사문화공원,서울4호선,57.666667,127.00788803473623,37.56506741473066
701,군자,서울7호선,57.666667,127.07940313207344,37.557012386873
654,보문,서울6호선,58.333333,127.01968773941685,37.58544175366165
185,북한산보국문,우이신설경전철,58.383333,127.0082013037159,37.61214082533004
105,상봉,경의중앙선,58.5,127.0851919476268,37.59671178171472
354,종로5가,서울1호선,58.5,127.00191050851747,37.57100470619648
474,신설동,서울2호선,58.5,127.02491914432683,37.57478114111918
568,오남,서울4호선,58.966667,127.19159078784044,37.7054137373435
129,상봉,경춘선,59.333333,127.08507235969925,37.59696394547592
700,어린이대공원,서울7호선,59.5,127.07460765080978,37.54797651986144
653,창신,서울6호선,59.833333,127.01529141982512,37.57948029984715
