siteId,siteName,boundaryAreaSqm,parcelCountInBoundary,builtParcelCount,unbuiltParcelCount,unbuiltParcelRatioCount,unbuiltParcelAreaSqm,totalParcelAreaSqm,unbuiltParcelRatioArea,buildingCount,totalGrossFloorAreaSqm,totalFloorAreaForFarSqm,siteLevelFarPercent,meanParcelFarPercentBuiltOnly,meanParcelFarPercentAllParcels,lumEntropyFloorArea,lumEntropyFloorAreaNormalized,lumEntropyBuildingCount,lumEntropyBuildingCountNormalized,lumCategoryCountGlobal,lumObservedCategoryCount,totalBuildingLedgerRows,parcelMatchedRows,insideBoundaryRows,parcelMatchRate,validation
pangyo,판교 도시지원시설용지,433241.416,91,53,38,0.4175824175824176,62790.578,384127.041,0.16346305070458747,87,2632234.94,1481386.13,385.65,567.808,330.701,0.676718,0.347764,1.031742,0.53021,7,5,13334,13055,87,0.9790760461976901,"{""expectedBuildingCount"":87,""recalculatedBuildingCount"":87,""buildingCountMatches"":true,""expectedGrossAreaSumSqm"":2632234.939999999,""recalculatedGrossAreaSumSqm"":2632234.94,""grossAreaDifferenceSqm"":0,""parcelMatchedRowsExpected"":13055,""parcelMatchedRowsRecalculated"":13055,""insideBoundaryRowsExpected"":87,""insideBoundaryRowsRecalculated"":87}"
okjeong,양주 옥정 자족용지,223789.424,30,8,22,0.7333333333333333,109807.562,223705.15,0.49085844422621616,10,473043.18,249879.679,111.7,223.357,59.562,0.663084,0.340758,0.897946,0.461453,7,3,40406,37621,10,0.9310745928822453,"{""expectedBuildingCount"":10,""recalculatedBuildingCount"":10,""buildingCountMatches"":true,""expectedGrossAreaSumSqm"":473043.1797999999,""recalculatedGrossAreaSumSqm"":473043.1798,""grossAreaDifferenceSqm"":0,""parcelMatchedRowsExpected"":37621,""parcelMatchedRowsRecalculated"":37621,""insideBoundaryRowsExpected"":10,""insideBoundaryRowsRecalculated"":10}"
