pnu,managementPk,siteAddress,roadAddress,mainUse,grossFloorAreaSqm,approvalDate,approvalYear,parcelJibun,centroidLon,centroidLat
4113510900106900000,10891100238602,경기도 성남시 분당구 삼평동 690번지,경기도 성남시 분당구 판교로 331 (삼평동),업무시설,21787.44,20130321,2013,690대,127.11043184587673,37.40373989993267
4113510900106900000,10891100238603,경기도 성남시 분당구 삼평동 690번지,경기도 성남시 분당구 판교로 323 (삼평동),업무시설,15537.21,20130321,2013,690대,127.11043184587673,37.40373989993267
4113510900106920000,10891100271567,경기도 성남시 분당구 삼평동 692번지,경기도 성남시 분당구 판교로 305 (삼평동),교육연구시설,34202.77,20160502,2016,692대,127.10814449011356,37.4034868810294
4113510900106930000,10891100271124,경기도 성남시 분당구 삼평동 693번지,경기도 성남시 분당구 판교로 295 (삼평동),교육연구시설,44984.63,20160418,2016,693대,127.10735275883907,37.403485180835695
4113510900106940000,10891100233217,경기도 성남시 분당구 삼평동 694번지,경기도 성남시 분당구 판교로 289 (삼평동),업무시설,17069.78,20120810,2012,694대,127.10602929955179,37.403766092322
4113510900106940001,10891100223623,경기도 성남시 분당구 삼평동 694-1번지,경기도 성남시 분당구 대왕판교로 700 (삼평동),교육연구시설,2,,,694-1대,127.10492956278979,37.40431399253131
4113510900106940001,10891100223575,경기도 성남시 분당구 삼평동 694-1번지,경기도 성남시 분당구 대왕판교로 700 (삼평동),교육연구시설,58174.74,20110427,2011,694-1대,127.10492956278979,37.40431399253131
4113510900106960001,10891100231357,경기도 성남시 분당구 삼평동 696-1번지,경기도 성남시 분당구 대왕판교로712번길 22 (삼평동),교육연구시설,46487.77,20120327,2012,696-1대,127.10186798093027,37.4064564335882
4113510900106980000,10891100264607,경기도 성남시 분당구 삼평동 698번지,경기도 성남시 분당구 판교로289번길 20 (삼평동),교육연구시설,54159.98,20151124,2015,698대,127.10584558867411,37.40443935274454
4113510900107000000,10891100328336,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),제2종근린생활시설,611.05,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328032,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,3358.59,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328349,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,226.08,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328109,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,1874.42,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328170,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,5382.66,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328347,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,54.01,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328348,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,1375.78,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328335,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,26.93,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328350,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,8235.57,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328346,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,535.55,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107000000,10891100328351,경기도 성남시 분당구 삼평동 700번지,경기도 성남시 분당구 판교로319번길 14 (삼평동),공동주택,132.2,20200810,2020,700대,127.10876046760345,37.404403245826934
4113510900107010000,10891100207057,경기도 성남시 분당구 삼평동 701번지,경기도 성남시 분당구 판교로319번길 6 (삼평동),교육연구시설,58581.77,20100312,2010,701대,127.11020437187301,37.40441707915132
4113510900107020000,10891100226562,경기도 성남시 분당구 삼평동 702번지,경기도 성남시 분당구 판교로 333 (삼평동),교육연구시설,51578.34,20110902,2011,702대,127.11154213279659,37.40453829521689
