siteId,siteName,pnu,jibun,parcelAreaSqm,buildingCount,grossFloorAreaSqm,floorAreaForFarSqm,parcelFarPercent,built
pangyo,판교 도시지원시설용지,4113510900106820000,682대,9412.831,1,83638.9,48099.29,510.997,1
pangyo,판교 도시지원시설용지,4113510900106820001,682-1도,439.224,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106830000,683대,4716.376,1,47919.42,22912.36,485.804,1
pangyo,판교 도시지원시설용지,4113510900106830001,683-1도,1955.372,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106850000,685대,2610.072,1,23823.83,13615.95,521.67,1
pangyo,판교 도시지원시설용지,4113510900106860000,686대,5581.025,1,47512.91,25185.54,451.271,1
pangyo,판교 도시지원시설용지,4113510900106860001,686-1대,2524.407,1,22849.15,12939.27,512.567,1
pangyo,판교 도시지원시설용지,4113510900106870000,687대,2594.679,1,47774.11,24580.65,947.349,1
pangyo,판교 도시지원시설용지,4113510900106870001,687-1대,2736.874,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106880000,688대,2431.488,1,18288.86,11618.44,477.833,1
pangyo,판교 도시지원시설용지,4113510900106880001,688-1대,9705.965,2,76920.86,46592.07,480.035,1
pangyo,판교 도시지원시설용지,4113510900106890000,689대,9196.358,1,60557.82,31324.06,340.614,1
pangyo,판교 도시지원시설용지,4113510900106900000,690대,5044.516,2,37324.65,19125.79,379.14,1
pangyo,판교 도시지원시설용지,4113510900106920000,692대,4037.234,1,34202.77,14869.04,368.298,1
pangyo,판교 도시지원시설용지,4113510900106930000,693대,2532.814,1,44984.63,19221.76,758.909,1
pangyo,판교 도시지원시설용지,4113510900106930001,693-1대,2415.711,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106940000,694대,2575.925,1,17069.78,8820.36,342.415,1
pangyo,판교 도시지원시설용지,4113510900106940001,694-1대,9707.627,2,58176.74,37735.46,388.72,1
pangyo,판교 도시지원시설용지,4113510900106960001,696-1대,7808.571,1,46487.77,29378.73,376.237,1
pangyo,판교 도시지원시설용지,4113510900106960002,696-2대,3181.346,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900106980000,698대,15544.348,1,54159.98,35702.08,229.679,1
pangyo,판교 도시지원시설용지,4113510900106980001,698-1도,4256.924,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900107000000,700대,4604.617,11,21812.84,12686.8,275.523,1
pangyo,판교 도시지원시설용지,4113510900107010000,701대,11817.345,1,58581.77,30060.48,254.376,1
pangyo,판교 도시지원시설용지,4113510900107020000,702대,10023.98,1,51578.34,27174.54,271.095,1
pangyo,판교 도시지원시설용지,4113510900107030001,703-1수,1179.996,0,0,0,0,0
pangyo,판교 도시지원시설용지,4113510900107030003,703-3 도,0,0,0,0,,0
okjeong,양주 옥정 자족용지,4163011200106040006,604-6도,0.019,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400109870001,987-1 대,15734.255,1,75816.905,37983.057,241.404,1
okjeong,양주 옥정 자족용지,4163011400110040001,1004-1대,9172.983,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110040002,1004-2대,9926.8,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110040003,1004-3대,9340.866,1,39094.27,17288.03,185.08,1
okjeong,양주 옥정 자족용지,4163011400110050000,1005도,1.079,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110060001,1006-1 대,13643.724,1,57144.159,27962.99,204.951,1
okjeong,양주 옥정 자족용지,4163011400110060003,1006-3도,1.066,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110070001,1007-1대,5848.711,1,58960.94,26525.23,453.523,1
okjeong,양주 옥정 자족용지,4163011400110070002,1007-2대,5913.773,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110070003,1007-3대,12902.226,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110070004,1007-4대,8747.077,1,36972.285,18305.312,209.273,1
okjeong,양주 옥정 자족용지,4163011400110230002,1023-2대,9240.916,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110230003,1023-3대,8744.215,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110230004,1023-4대,9138.176,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110230005,1023-5대,7883.439,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110230006,1023-6대,7841.644,0,0,0,0,0
okjeong,양주 옥정 자족용지,4163011400110240006,1024-6대,6254.413,1,30741.07,16729.73,267.487,1
okjeong,양주 옥정 자족용지,4163011400110240007,1024-7대,5485.997,0,0,0,0,0
