2023,31260571020001,cp_bnu_019,12
2023,31260561030104,cp_bnu_008,N/A
2023,31260571040306,cp_bnu_007,N/A
2023,31260520041201,cp_bnu_014,N/A
2023,31260320050002,cp_bnu_017,N/A
2023,31260571010509,cp_bnu_003,N/A
2023,31260530030502,cp_bnu_019,N/A
2023,31260540012305,cp_bnu_014,N/A
2023,31260520010701,cp_bnu_013,N/A
2023,31260540010901,cp_bnu_007,N/A
2023,31260110040018,cp_bnu_016,N/A
2023,31260561020301,cp_bnu_006,N/A
2023,31260571010502,cp_bnu_014,N/A
2023,31260561030501,cp_bnu_017,N/A
2023,31260110040004,cp_bnu_008,N/A
2023,31260510060102,cp_bnu_003,N/A
2023,31260571020101,cp_bnu_013,N/A
2023,31260540010001,cp_bnu_019,19
2023,31260520040001,cp_bnu_019,44
2023,31260571040705,cp_bnu_013,N/A
2023,31260571030209,cp_bnu_013,N/A
2023,31260550011005,cp_bnu_019,N/A
2023,31260540011802,cp_bnu_014,N/A
2023,31260571040303,cp_bnu_009,N/A
2023,31260520040101,cp_bnu_008,N/A
2023,31260571020406,cp_bnu_010,N/A
2023,31260571020301,cp_bnu_012,6
2023,31260571040404,cp_bnu_017,N/A
2023,31260550010706,cp_bnu_013,N/A
2023,31260110040601,cp_bnu_016,N/A
2023,31260320010001,cp_bnu_009,N/A
2023,31260571010401,cp_bnu_014,N/A
2023,31260561010302,cp_bnu_007,7
2023,31260540010004,cp_bnu_012,7
2023,31260320060003,cp_bnu_003,80
2023,31260310040002,cp_bnu_017,N/A
2023,31260540020402,cp_bnu_017,N/A
2023,31260330010005,cp_bnu_003,61
2023,31260561020502,cp_bnu_008,N/A
2023,31260571020406,cp_bnu_008,N/A
2023,31260340040010,cp_bnu_006,8
2023,31260550010802,cp_bnu_007,6
2023,31260110041302,cp_bnu_009,N/A
2023,31260520040711,cp_bnu_010,N/A
2023,31260520010502,cp_bnu_019,N/A
2023,31260510030001,cp_bnu_012,7
2023,31260540011102,cp_bnu_007,10
2023,31260520040007,cp_bnu_018,6
2023,31260520040201,cp_bnu_007,N/A
2023,31260540020501,cp_bnu_008,N/A
2023,31260540011301,cp_bnu_009,N/A
2023,31260571040705,cp_bnu_006,N/A
2023,31260571020405,cp_bnu_016,5
2023,31260320060001,cp_bnu_014,N/A
2023,31260510040001,cp_bnu_005,N/A
2023,31260530030006,cp_bnu_007,11
2023,31260540010202,cp_bnu_008,N/A
2023,31260550020002,cp_bnu_012,N/A
2023,31260561040003,cp_bnu_012,9
2023,31260110041401,cp_bnu_012,N/A
2023,31260320050007,cp_bnu_019,N/A
2023,31260540010010,cp_bnu_019,9
2023,31260320060002,cp_bnu_007,12
2023,31260520041102,cp_bnu_019,N/A
2023,31260110040701,cp_bnu_019,N/A
2023,31260561010001,cp_bnu_009,27
2023,31260540010014,cp_bnu_009,N/A
2023,31260330060003,cp_bnu_007,28
2023,31260110020001,cp_bnu_012,5
2023,31260550011003,cp_bnu_008,N/A
2023,31260340040702,cp_bnu_003,N/A
2023,31260330050001,cp_bnu_008,N/A
2023,31260320020001,cp_bnu_019,N/A
2023,31260540010018,cp_bnu_007,11
2023,31260550011004,cp_bnu_017,N/A
2023,31260320010001,cp_bnu_004,N/A
2023,31260330010005,cp_bnu_009,14
2023,31260110040005,cp_bnu_017,N/A
2023,31260540011801,cp_bnu_007,9
2023,31260330060003,cp_bnu_008,14
2023,31260110040018,cp_bnu_007,23
2023,31260310040005,cp_bnu_018,N/A
2023,31260530010001,cp_bnu_003,28
2023,31260530030701,cp_bnu_007,12
2023,31260110040012,cp_bnu_019,11
2023,31260320040001,cp_bnu_012,N/A
2023,31260530030001,cp_bnu_012,10
2023,31260110040801,cp_bnu_012,N/A
2023,31260540010004,cp_bnu_014,N/A
2023,31260110040801,cp_bnu_017,N/A
2023,31260550010402,cp_bnu_018,N/A
2023,31260520040709,cp_bnu_007,7
2023,31260561010301,cp_bnu_007,5
2023,31260561030601,cp_bnu_019,N/A
2023,31260110040005,cp_bnu_019,10
2023,31260571040705,cp_bnu_008,N/A
2023,31260310020001,cp_bnu_007,20
2023,31260110040601,cp_bnu_008,N/A
2023,31260110040005,cp_bnu_012,6
2023,31260330010007,cp_bnu_003,N/A
2023,31260540011401,cp_bnu_007,9
2023,31260571010508,cp_bnu_007,N/A
2023,31260520040402,cp_bnu_014,N/A
2023,31260520040004,cp_bnu_016,32
2023,31260520040718,cp_bnu_003,N/A
2023,31260550010702,cp_bnu_008,N/A
2023,31260550011001,cp_bnu_014,N/A
2023,31260520041301,cp_bnu_006,N/A
2023,31260571040602,cp_bnu_008,N/A
2023,31260540010023,cp_bnu_018,N/A
2023,31260330030002,cp_bnu_014,N/A
2023,31260330060202,cp_bnu_019,N/A
2023,31260571040408,cp_bnu_017,N/A
2023,31260110041401,cp_bnu_005,N/A
2023,31260520040701,cp_bnu_008,N/A
2023,31260340020102,cp_bnu_017,N/A
2023,31260561020503,cp_bnu_009,N/A
2023,31260320050003,cp_bnu_006,N/A
2023,31260571010301,cp_bnu_017,N/A
2023,31260561040001,cp_bnu_006,26
2023,31260571040101,cp_bnu_007,8
2023,31260571010202,cp_bnu_017,N/A
2023,31260520041203,cp_bnu_019,N/A
2023,31260520040903,cp_bnu_017,N/A
2023,31260520040403,cp_bnu_008,N/A
2023,31260561020102,cp_bnu_007,6
2023,31260510050001,cp_bnu_008,N/A
2023,31260520041101,cp_bnu_008,N/A
2023,31260571020301,cp_bnu_008,N/A
2023,31260110040016,cp_bnu_017,7
2023,31260330050002,cp_bnu_019,N/A
2023,31260550010207,cp_bnu_006,N/A
2023,31260340020002,cp_bnu_006,10
2023,31260571040004,cp_bnu_008,N/A
2023,31260530030003,cp_bnu_019,N/A
2023,31260550020001,cp_bnu_005,N/A
2023,31260550010005,cp_bnu_010,N/A
2023,31260530030703,cp_bnu_007,6
2023,31260540010010,cp_bnu_016,N/A
2023,31260510050003,cp_bnu_009,10
2023,31260520020102,cp_bnu_019,N/A
2023,31260550010501,cp_bnu_016,N/A
2023,31260330010202,cp_bnu_017,N/A
2023,31260110040003,cp_bnu_014,N/A
2023,31260520041101,cp_bnu_014,N/A
2023,31260571040501,cp_bnu_007,N/A
2023,31260540010021,cp_bnu_006,N/A
2023,31260540010012,cp_bnu_007,14
2023,31260340040010,cp_bnu_017,N/A
2023,31260520040601,cp_bnu_008,N/A
2023,31260520041201,cp_bnu_017,N/A
2023,31260330040001,cp_bnu_009,13
2023,31260510030001,cp_bnu_010,N/A
2023,31260520010601,cp_bnu_007,9
2023,31260330010001,cp_bnu_009,22
2023,31260310030002,cp_bnu_007,124
